horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,9.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,83.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,84.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,20.0, Ninguno, Soltero(a), No,,,,2,1.0
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,80.0, Ninguno, Separado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,38.0, Ninguno, Casado(a), Si,,,,4,2.0
20.0, Urbana,Cuenca,,2.0,,,Persona 2, Mujer,36.0, Ninguno, Casado(a), No,4.0,,,10,12.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,18.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,9.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,7.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,38.0, Ninguno, Divorciado(a), No,4.0,,,2,3.0
, Urbana,Cuenca,,0.0,,,Persona 2, Mujer,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,8.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
84.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,34.0, Ninguno, Unión libre, No,6.0,,,2,11.0
60.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,37.0, Ninguno, Unión libre, No,4.0,,,2,14.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,15.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,67.0, Ninguno, Divorciado(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,5.0,,,Persona 1, Mujer,35.0, Ninguno, Unión libre, No,9.0,,,7,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,39.0, Ninguno, Unión libre, No,9.0,,,5,2.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,12.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Mujer,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,7.0,,1.0,Persona 1, Mujer,32.0, Ninguno, Soltero(a), No,4.0, Enviar hoja de vida, Renuncia voluntaria,2,
, Urbana,Cuenca,,0.0,,,Persona 2, Hombre,13.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,5.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
32.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,57.0, Ninguno, Divorciado(a), Si,5.0,,,6,30.0
, Urbana,Cuenca,,0.0,,,Persona 2, Mujer,13.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,64.0, Ninguno, Divorciado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,46.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,4.0,,,Persona 2, Hombre,51.0, Ninguno, Casado(a), No,4.0,,,5,20.0
40.0, Urbana,Cuenca,,4.0,,,Persona 3, Hombre,24.0, Ninguno, Soltero(a), No,,,,2,7.0
